STT,Name,Price,RAM,Hard Drive,Weight,Brand Rank,CPU Rank,GPU Rank,Inch,Demand
11,Laptop Asus Gaming TUF Dash F15 FX517ZE i5 12450H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (HN045W),19590000,8,512,2,14,30,9,15.6,0
12,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W),16990000,16,512,1.7,14,38,15,15.6,0
13,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/2GB MX550/120Hz/OfficeHS/Win11 (70296960),18990000,8,512,1.9,5,19,13,15.6,0
14,Laptop Asus Gaming ROG Strix G15 G513IH R7 4800H/8GB/512GB/4GB GTX1650/144Hz/Win11 (HN015W),17990000,8,512,2.1,14,31,22,15.6,0
15,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/Win11 (L1201W),22990000,16,512,1.7,14,55,15,15.6,0
16,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W),24990000,16,512,1.4,14,39,9,14,0
17,Laptop MSI Gaming Katana 15 B13VFK i7 13620H/16GB/1TB/8GB RTX4060/144Hz/Balo/Win11 (676VN),33490000,16,1024,2.25,12,46,5,15.6,0
18,Laptop Asus Gaming ROG Strix G17 G713RW R9 6900HX/32GB/1TB/8GB RTX3070Ti/240Hz/Balo/Win11 (LL178W),43990000,32,1024,2.9,14,43,4,17.3,0
19,Laptop Apple MacBook Pro 14 inch M2 Pro 2023 10-core CPU/16GB/512GB/16-core GPU,47690000,16,512,1.6,1,24,25,14.2,0
20,Laptop Asus TUF Gaming F15 FX507ZU4 i7 12700H/8GB/512GB/6GB RTX4050/144Hz/Win11 (LP520W),26990000,8,512,2.2,14,44,7,15.6,0
21,Laptop Asus TUF Gaming F15 FX507VV4 i9 13900H/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP382W),35790000,16,512,2.2,14,55,5,15.6,0
22,Laptop Asus Gaming ROG Strix SCAR 17 G733PZ R9 7945HX/32GB/1TB/12GB RTX4080/240Hz/Balo/Chuột/Win11 (LL980W),78500000,32,1024,3,14,57,2,17.3,0
23,Laptop Asus Gaming ROG Strix G16 G614JU i7 13650HX/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3777W),38190000,16,512,2.5,14,53,7,16,0
24,Laptop Asus Gaming ROG Strix SCAR 18 G834JY i9 13980HX/64GB/2TB/16GB RTX4090/240Hz/Balo/Chuột/Win11(N6039W),111500000,64,2048,3.1,14,56,1,18,0
25,Laptop Asus Gaming ROG Zephyrus M16 GU604VI i9 13900H/32GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (NM779W),74990000,32,1024,2.1,14,55,3,16,0
26,Laptop Asus Gaming ROG Strix G18 G814JI i9 13980HX/32GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (N6063W),65490000,32,1024,3,14,56,3,18,0
27,Laptop MacBook Pro 16 inch M2 Pro 2023 12-core CPU/16GB/1TB/19-core GPU,64990000,16,1024,2.15,1,24,26,16.2,0
28,Laptop Apple MacBook Pro 16 inch M2 Pro 2023 12-core CPU/16GB/512GB/19-core GPU,59390000,16,512,2.15,1,24,26,16.2,0
29,Laptop Asus Gaming ROG Strix G16 G614JI i7 13650HX/16GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (N4084W),53990000,16,1024,2.5,14,53,3,16,0
30,Laptop HP Envy 16 h0205TX i9 12900H/32GB/512GB/6GB RTX3060/Touch/Win11 (7C0T2PA),53390000,32,512,2.32,8,238,8,16,0
31,Laptop HP Omen 16 n0085AX R9 6900HX/32GB/1TB SSD/8GB RTX3070Ti/165Hz/Win11 (7C144PA),51190000,32,1024,2.35,8,43,4,16.1,0
32,Laptop HP ZBook Firefly 16 G10 i7 1355U/16GB/512GB/4GB RTXA500/Win11 Pro (740J1AV),47190000,16,512,1.72,8,23,12,16,0
33,Laptop LG gram 2023 i7 1360P/16GB/1TB/Win11 (17Z90R-G.AH78A5),45190000,16,1024,1.35,11,34,15,17,0
34,Laptop Lenovo Thinkpad P16s Gen 1 i7 1260P/16GB/512GB/4GB QuadroT550/Win11 Pro (21BT0064VN),44490000,16,512,1.8,10,27,23,16,0
35,Laptop Lenovo Gaming Legion 5 16IRH8 i7 13700H/16GB/1TB/8GB RTX4060/165Hz/Win11 (82YA00DTVN),43990000,16,1024,2.4,10,48,5,16,0
36,Laptop Asus Vivobook Pro 16 OLED K6602VV i9 13900H/16GB/1TB/8GB RTX4060/Win11 (MX077W),43190000,16,1024,1.9,14,55,5,16,0
37,Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),41990000,16,1024,0.99,8,20,15,13.5,0
38,Laptop Asus Gaming ROG Strix SCAR 15 G533ZW i9 12900H/32GB/1TB/8GB RTX3070Ti/240Hz/Balo/Chuột/Win11 (LN134W),41990000,32,1024,2.3,14,238,4,15.6,0
39,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),40990000,32,1024,1,14,23,15,13.3,0
40,Laptop HP Omen 16 n0087AX R7 6800H/16GB/1TB SSD/6GB RTX3060/165Hz/Win11 (7C0T7PA),40390000,16,1024,2.35,8,41,8,16.1,0
41,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/16GB/512GB/10-core GPU,39990000,16,512,1.4,1,24,24,13.3,0
42,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/120Hz/Win11 (16Z90RS-G.AH54A5),39690000,16,512,1.25,11,36,15,16,0
43,Laptop Asus Gaming ROG Zephyrus G16 GU603VU i7 13620H/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3898W),39590000,16,512,2,14,46,7,16,0
44,Laptop LG gram UltraSlim 2023 i5 1340P/16GB/512GB/Win11 (15Z90RT-G.AH55A5),38990000,16,512,0.99,11,36,15,15.6,0
45,Laptop Acer Gaming Predator Helios Neo 16 PHN16 71 7460 i7 13700HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (NH.QLTSV.004),38990000,8,512,2.6,15,48,7,16,0
46,Laptop Asus TUF Gaming A15 FA507XI R9 7940HS/8GB/512GB/8GB RTX4070/144Hz/Win11 (LP420W),38990000,8,512,2.2,14,52,3,15.6,0
47,Laptop Asus Gaming ROG Zephyrus G14 GA402NJ R7 7735HS/16GB/512GB/6GB RTX3050/144Hz/Túi/Win11 (L4056W),37790000,16,512,1.72,14,42,9,14,0
48,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),35090000,16,512,1,14,23,15,13.3,0
49,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (14Z90R-G.AH75A5),34690000,16,512,0.999,11,34,15,14,0
50,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/90Hz/Win11 (14Z90RS-G.AH54A5),34690000,16,512,0.999,11,36,15,14,0
51,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/512GB/10-core GPU,34590000,8,512,1.4,1,24,24,13.3,0
52,Laptop Asus Gaming ROG Strix G16 G614JU i5 13450HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (N3135W),34590000,8,512,2.5,14,45,7,16,0
53,Laptop LG gram 2in1 2023 i5 1340P/16GB/512GB/Touch/Pen/Win11 (14T90R-G.AH55A5),33990000,16,512,1.25,11,36,15,14,0
54,Laptop LG gram 2023 i5 1340P/16GB/256GB/Win11 (14Z90R-G.AH53A5),32490000,16,256,0.999,11,36,15,14,0
55,Laptop Asus Gaming TUF Dash F15 FX517ZR i7 12650H/8GB/512GB/8GB RTX3070/144Hz/Win11 (HN086W),31490000,8,512,2,14,40,6,15.6,0
56,Laptop Asus TUF Gaming F15 FX507ZM i7 12700H/16GB/512GB/6GB RTX3060/144Hz/Win11 (HN123W),28790000,16,512,2.2,14,44,8,15.6,0
57,Laptop Lenovo Yoga 7 14IRL8 i7 1360P/16GB/512GB/Touch/Pen/OfficeHS/Win11 (82YL006BVN),27990000,16,512,1.49,10,34,15,14,0
58,Laptop HP Gaming VICTUS 16 r0128TX i5 13450HX/16GB/512GB/144Hz/6GB RTX4050/Win11 (8C5N3PA),27890000,16,512,2.34,8,45,7,16.1,0
59,Laptop HP Gaming VICTUS 16 s0077AX R7 7840HS/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N6PA),27890000,16,512,2.34,8,50,9,16.1,0
60,Laptop Acer Nitro 5 Tiger AN515 58 773Y i7 12700H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001),27490000,8,512,2.5,15,44,9,15.6,0
61,Laptop Lenovo ThinkPad E14 Gen 5 i7 1355U/16GB/512GB/Win11 (21JK007XVN),27190000,16,512,1.53,10,23,15,14,0
62,Laptop HP Gaming VICTUS 16 r0130TX i5 13500H/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N5PA),25990000,16,512,2.34,8,39,9,16.1,0
63,Laptop Lenovo Yoga 7 14IRL8 i5 1340P/16GB/512GB/Touch/Pen/OfficeHS/Win11 (82YL006AVN),24990000,16,512,1.49,10,36,15,14,0
